Managed Area Name,Burn Unit Name,Latitude,Longitude,Start Date,End Date,Type of Burn,Total Acres of Burn,TNC Acres Burned,Other Landowner,Rural or Urban,Burn Lead,StateName,BurnComplexity
Niobrara Valley Preserve,South Bachelor,42.844013,-100.340114,3/26/2015,3/28/2015,Broadcast,450,450,,Rural,"[""TNC""]",Nebraska,Medium
Matador Ranch,Horse North,47.93230855,-108.3387872,3/27/2015,3/27/2015,Broadcast,360,360,,Rural,"[""TNC""]",Montana,Medium
"Juniper, CFL ACUB",Kendall Creek,32.54304358,-84.7108722,3/27/2015,3/27/2015,Broadcast,806,806,,Rural,"[""TNC""]",Georgia,Medium
Tallgrass Prairie Preserve,Greeley / Mary L. / W. Stish,36.87597,-96.402283,3/27/2015,3/27/2015,Broadcast,"2,627","2,421","[""Private""]",Rural,"[""TNC""]",Oklahoma,Low
Aravaipa Canyon Preserve,Slash pile burn,32.872103,-110.367378,3/27/2015,3/27/2015,Non-broadcast,,,,Rural,"[""TNC""]",Arizona,Low
Tallgrass Prairie Preserve,Foreman's Picknick Area,36.846344,-96.419549,3/28/2015,3/28/2015,Broadcast,1,1,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,HQ Buildings,36.846113,-96.420861,3/28/2015,3/28/2015,Broadcast,13,13,,Rural,"[""TNC""]",Oklahoma,Low
Camp Meeting Rock Preserve,Privet,33.25187044,-85.14777187,3/28/2015,3/28/2015,Broadcast,14,14,,Rural,"[""TNC""]",Georgia,Medium
Eller Seep,entire,34.993115,-83.753135,3/29/2015,3/29/2015,Broadcast,6,6,,Rural,"[""TNC""]",North Carolina,Low
Nickel Preserve,Prairie Restoration Fields,36.02903,-94.84153,3/29/2015,3/29/2015,Broadcast,97,97,,Rural,"[""Contractor""]",Oklahoma,Low
Indian Boundary Prairies,Paintbrush - NNW Corner Unit,41.610564,-87.709809,3/30/2015,3/30/2015,Broadcast,3.8,3.8,,Urban,"[""TNC; Government Agency""]",Illinois,Low
Pickerel Lake,Fen Unit,42.8017,-88.4404,3/30/2015,3/30/2015,Broadcast,200,40,,Rural,"[""TNC""]",Wisconsin,Medium
Nachusa Grasslands,Main little blue,41.890836,-89.343595,3/30/2015,3/30/2015,Broadcast,55,55,,Rural,"[""TNC""]",Illinois,Low
Pine Butte Swamp Preserve,Southeast,47.81756964,-112.566507,3/30/2015,3/30/2015,Broadcast,350,350,,Rural,"[""TNC""]",Montana,Medium
Green Swamp,Houseman,34.100096,-78.292078,3/30/2015,3/30/2015,Broadcast,455,455,,Rural,"[""Government Agency""]",North Carolina,High
Red Creek,"RC-1, 6, 9",30.70445365,-88.7290158,3/30/2015,3/30/2015,Broadcast,602,602,,Rural,"[""TNC""]",Mississippi,Low
Chilton Creek,Kelly Hollow N&S,37.0709,-91.0752,3/30/2015,3/31/2015,Broadcast,"1,010","1,010",,Rural,"[""TNC""]",Missouri,Low
Tallgrass Prairie Preserve,Leahy / Stuart Unit,36.774308,-96.350441,3/30/2015,3/30/2015,Broadcast,"1,258","1,215","[""Private""]",Rural,"[""TNC""]",Oklahoma,Low
Nickel Preserve,Shrubland East / Kirk Springs Combined Units,36.05636,-94.79691,3/30/2015,3/30/2015,Broadcast,"1,389","1,320","[""Private""]",Rural,"[""Contractor""]",Oklahoma,Low
Tallgrass Prairie Preserve,Mormons / Jones Unit,36.747031,-96.374242,3/30/2015,3/30/2015,Broadcast,"6,160","1,713","[""Private""]",Rural,"[""TNC""]",Oklahoma,Low
Broken Kettle Grasslands,Visitor Center,42.41,-96.34,3/31/2015,3/31/2015,Broadcast,1,1,,Rural,"[""TNC""]",Iowa,Medium
Indian Boundary Prairies,Sundrop - North Wetland Unit (Inc),41.619718,-87.701962,3/31/2015,3/31/2015,Broadcast,2.8,2.8,,Urban,"[""TNC; Government Agency""]",Illinois,Low
Emiquon Preserve,Emiquon TL South 13,40.34061792,-90.08752906,3/31/2015,3/31/2015,Broadcast,10,10,,Rural,"[""TNC""]",Illinois,Medium
Konza Prairie,HQC,39.1001,-96.6101,3/31/2015,3/31/2015,Broadcast,43.201,43.201,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Splinter Hill Bog Preserve,Portion 4B,31.0043,-87.4141,3/31/2015,3/31/2015,Broadcast,59,59,,Rural,"[""TNC""]",Alabama,Low
Splinter Hill Bog Preserve,1C-S,31.0059,-87.4113,3/31/2015,3/31/2015,Broadcast,78,78,,Rural,"[""TNC""]",Alabama,Low
Emiquon Preserve,Butt tract,40.34702887,-90.11027419,3/31/2015,3/31/2015,Broadcast,80,80,,Rural,"[""TNC""]",Illinois,Low
Tiffany,Tiffany,42.892,-95.294,3/31/2015,3/31/2015,Broadcast,80,80,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Iowa,Low
Konza Prairie,N1Ane,39.0963,-96.5858,3/31/2015,3/31/2015,Broadcast,83.596,83.596,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Tiger Creek Preserve,WS-6,27.812248,-81.499198,3/31/2015,3/31/2015,Broadcast,96,96,,Rural,"[""TNC""]",Florida,Low
Konza Prairie,N4B,39.0926,-96.5803,3/31/2015,3/31/2015,Broadcast,140.29,140.29,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Dunn Ranch,Unit D6f,40.48292823,-94.07531352,3/31/2015,3/31/2015,Broadcast,160,160,,Rural,"[""TNC""]",Missouri,Low
Kankakee Sands,Unit J,41.046767,-87.473233,3/31/2015,3/31/2015,Broadcast,160,160,,Rural,"[""TNC""]",Indiana,Low
Red Creek,"RC-6, 7",30.70196978,-88.72530362,3/31/2015,3/31/2015,Broadcast,185,185,,Rural,"[""TNC""]",Mississippi,Low
Tallgrass Prairie Preserve,Bison Unit - W. Scenic Turnout,36.844003,-96.46721,3/31/2015,3/31/2015,Broadcast,238,238,,Rural,"[""TNC""]",Oklahoma,Low
Anderson County Prairie Preserve,PB East Unit,38.182,-95.271,3/31/2015,3/31/2015,Broadcast,250,250,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
"Juniper, CFL ACUB",Ingram 1,32.51471244,-84.58495858,3/31/2015,3/31/2015,Broadcast,524,524,,Rural,"[""TNC""]",Georgia,Medium
Piney Grove Preserve,37a,36.99,-77.05,4/1/2015,4/1/2015,Broadcast,1,1,,Rural,"[""TNC""]",Virginia,Low
Kankakee Fen,West,41.596235,-86.406717,4/1/2015,4/1/2015,Broadcast,4,4,,Rural,"[""TNC""]",Indiana,Low
Nachusa Grasslands,Naylor Rd planting reburned,41.890836,-89.343595,4/1/2015,4/1/2015,Broadcast,44,44,,Rural,"[""TNC""]",Illinois,Low
Thorny Mountain,Stegall Mountain,37.07446436,-91.20499797,4/1/2015,4/1/2015,Broadcast,"4,010",110,"[""Federal Government; State/Local Government""]",Rural,"[""TNC; Government Agency""]",Missouri,Medium
Tiger Creek Preserve,WS-5,27.81832,-81.493524,4/1/2015,4/1/2015,Broadcast,349,349,,Rural,"[""TNC""]",Florida,Low
"Fort Perry Black Creek, CFL WMA",Fort Perry Piles,32.48486723,-84.54288411,4/1/2015,4/1/2015,Non-broadcast,,,,Rural,"[""TNC""]",Georgia,Low
Derr Pivot,Pivot,40.44,-98.34,4/2/2015,4/2/2015,Broadcast,40,40,,Rural,"[""TNC""]",Nebraska,Low
Carl Becker Savanna,Unit A,41.01743144,-87.52934539,4/3/2015,4/3/2015,Broadcast,40,10,"[""State/Local Government""]",Rural,"[""Contractor""]",Illinois,Medium
"Pine Knot, CFL ACUB",Rovig corner,32.42559653,-84.57816053,4/3/2015,4/3/2015,Broadcast,15,15,,Rural,"[""TNC""]",Georgia,Medium
Red Creek,RC-2,30.70107732,-88.72341535,4/3/2015,4/3/2015,Broadcast,298,298,,Rural,"[""TNC""]",Mississippi,Low
Felsenthal Preserve,Mill Site - Central,33.0425,-92.157,4/4/2015,4/4/2015,Broadcast,200,200,,Rural,"[""TNC""]",Arkansas,Medium
Indian Boundary Prairies,Markham East - South 1/2 ISTHA-2 Unit,41.613346,-87.681982,4/5/2015,4/5/2015,Broadcast,5,5,,Urban,"[""TNC; Government Agency""]",Illinois,Low
Crossman Prairie,South Unit,43.4,-92.48,4/6/2015,4/6/2015,Broadcast,4,4,,Rural,"[""Contractor""]",Iowa,Low
Piney Grove Preserve,16/57E,36.96,-77.09,4/6/2015,4/6/2015,Broadcast,66,66,,Rural,"[""TNC""]",Virginia,Low
Piney Grove Preserve,30-Mar,36.98,-77.08,4/6/2015,4/6/2015,Broadcast,104,104,,Rural,"[""TNC""]",Virginia,Low
Calloway Forest,19,35.031387,-79.281684,4/6/2015,4/6/2015,Broadcast,125,125,,Rural,"[""TNC""]",North Carolina,Low
Piney Grove Preserve,20/21/22/56N,36.96,-77.07,4/6/2015,4/6/2015,Broadcast,126,126,,Rural,"[""TNC""]",Virginia,Low
Piney Grove Preserve,Blacklining 8/29,36.98,-77.05,4/8/2015,4/8/2015,Broadcast,12,12,,Rural,"[""TNC""]",Virginia,Low
Lake Ramsay Complex,"WMA-2, 3, LR-8, 10",30.53409555,-90.15808293,4/8/2015,4/8/2015,Broadcast,285,19,"[""State/Local Government""]",Urban,"[""TNC""]",Louisiana,Low
Moody Forest Natural Area,"4,5",31.91768333,-82.30542424,4/9/2015,4/9/2015,Broadcast,125,75,,Urban,"[""TNC""]",Georgia,Medium
Talisheek/Money Hill,"MH-4, T-1, 2",30.57382604,-89.93345274,4/9/2015,4/9/2015,Broadcast,166,160,"[""Private""]",Rural,"[""TNC""]",Louisiana,Low
Barneveld Prairie SNA,Burn Unit 8,42.9864,-89.9008,4/11/2015,4/11/2015,Broadcast,17,17,,Rural,"[""TNC""]",Wisconsin,Medium
Barneveld Prairie SNA,Burn Unit 7,42.975,-89.8844,4/11/2015,4/11/2015,Broadcast,17,17,,Rural,"[""TNC""]",Wisconsin,Medium
Barneveld Prairie SNA,Burn Unit 6,42.9929,-89.8855,4/11/2015,4/11/2015,Broadcast,36,36,,Rural,"[""TNC""]",Wisconsin,Medium
Pembroke Savanna,Main,41.08034818,-87.64092528,4/11/2015,4/11/2015,Broadcast,100,100,,Rural,"[""TNC""]",Illinois,Medium
Nachusa Grasslands,Holland Prairie N,41.890836,-89.343595,4/11/2015,4/11/2015,Broadcast,110,110,,Rural,"[""TNC""]",Illinois,Low
Miller,Miller,40.42,-98.38,4/11/2015,4/11/2015,Broadcast,127,127,,Rural,"[""TNC""]",Nebraska,Low
Tallgrass Prairie Preserve,Osage Ranch - Mashunkashey,36.742782,-96.341919,4/11/2015,4/11/2015,Broadcast,"4,179","1,764","[""Private""]",Rural,"[""TNC""]",Oklahoma,Low
Oak Openings - Kitty Todd Preserve,Prickley Pear - Nojojoweski Dune,41.6182496,-83.7913942,4/12/2015,4/12/2015,Broadcast,2.5,2.5,,Urban,"[""TNC""]",Ohio,Low
Nassawango Creek Preserve,66a & 66b,38.31097417,-75.48862052,4/13/2015,4/13/2015,Broadcast,19,19,,Rural,"[""Government Agency""]",Maryland,Low
Warm Springs Mountain,Bear Loop,37.96,-79.83,4/13/2015,4/13/2015,Broadcast,154,154,,Rural,"[""TNC""]",Virginia,Medium
Oak Openings-Kitty Todd Preserve,Prickley Pear - Mt.Phlox/Nagel,41.618041,-83.791544,4/14/2015,4/14/2015,Broadcast,35,35,,Urban,"[""TNC""]",Ohio,Low
Konza Prairie,4F,39.0737,-96.5707,4/14/2015,4/14/2015,Broadcast,40.44,40.44,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,Brome Field S of K1A,39.0997,-96.593,4/14/2015,4/14/2015,Broadcast,48.29,48.29,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,2C,39.0688,-96.5816,4/14/2015,4/14/2015,Broadcast,56.72,56.72,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,SpA,39.0708,-96.5918,4/14/2015,4/14/2015,Broadcast,82.539,82.539,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,Brome Field N of K4A,39.1001,-96.5887,4/14/2015,4/14/2015,Broadcast,87.38,87.38,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,SpB,39.0712,-96.5883,4/14/2015,4/14/2015,Broadcast,88.31,88.31,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,R1B,39.0752,-96.552,4/14/2015,4/14/2015,Broadcast,98.34,98.34,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Disney Wilderness Preserve,"Office Flatwoods, Reedy Creek N",28.121583,-81.411041,4/14/2015,4/14/2015,Broadcast,100,100,,Rural,"[""TNC""]",Florida,Low
Konza Prairie,1D,39.0781,-96.5623,4/14/2015,4/14/2015,Broadcast,102.67,102.67,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,2D,39.079,-96.557,4/14/2015,4/14/2015,Broadcast,119.62,119.62,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Tallgrass Prairie National Preserve,East Side,38.414,"-96,531",4/14/2015,4/14/2015,Broadcast,"9,000","2,000","[""Private""]",Rural,"[""Ag Tenant""]",Kansas,Medium
Kankakee Sands,Unit K,41.049733,-87.460517,4/15/2015,4/15/2015,Broadcast,10,10,,Rural,"[""TNC""]",Indiana,Low
Disney Wilderness Preserve,Reedy Creek North,28.121583,-81.411041,4/15/2015,4/15/2015,Broadcast,75,75,,Rural,"[""TNC""]",Florida,Low
Konza Prairie,1B,39.0691,-96.5981,4/15/2015,4/15/2015,Broadcast,88.69,88.69,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,R1A,39.0713,-96.6112,4/15/2015,4/15/2015,Broadcast,120.24,120.24,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Tallgrass Prairie Preserve,Sand Creek / Hill Unit,36.874547,-96.432885,4/16/2015,4/16/2015,Broadcast,886,291,"[""Private""]",Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,Bison Unit - South Hickory Creek,36.811558,-96.454315,4/16/2015,4/16/2015,Broadcast,468,468,,Rural,"[""TNC""]",Oklahoma,Low
Tefft Savanna,D'Ambrosio,41.1686,-86.974934,4/17/2015,4/19/2015,Broadcast,28,28,,Rural,"[""TNC""]",Indiana,Low
Oak Openings - Kitty Todd Preserve,Fringed Gentian - Linnenkugle/Lindsey,41.6234147,-83.7983036,4/17/2015,4/17/2015,Broadcast,33,33,,Urban,"[""TNC""]",Ohio,Low
Barneveld Prairie SNA,PBG %231,42.9892,-89.9003,4/17/2015,4/17/2015,Broadcast,90,90,,Rural,"[""TNC""]",Wisconsin,Medium
Disney Wilderness Preserve,"Reedy Creek Central, HU-3S",28.094794,-81.404572,4/18/2015,4/18/2015,Broadcast,"1,149","1,149",,Rural,"[""TNC""]",Florida,Low
Disney Wilderness Preserve,HU-5,28.078837,-81.420626,4/19/2015,4/19/2015,Broadcast,"1,000","1,000",,Rural,"[""TNC""]",Florida,Low
Tallgrass Prairie Preserve,HQ Horse Trap North,36.847735,-96.422439,4/20/2015,4/20/2015,Broadcast,6,6,,Rural,"[""TNC""]",Oklahoma,Low
Felsenthal Preserve,Mill Site - West,33.0442,-92.165,4/20/2015,4/20/2015,Broadcast,220,220,,Rural,"[""TNC""]",Arkansas,Medium
Felsenthal Preserve,Mill Site - North Central,33.0503,-92.1614,4/21/2015,4/21/2015,Broadcast,100,100,,Rural,"[""TNC""]",Arkansas,Medium
Folsom Point,Cutface,41.154,-95.795,4/22/2015,4/22/2015,Broadcast,101,101,,Rural,"[""Government Agency""]",Iowa,Medium
Mike's Pond,"MP-5, 6",30.56367316,-88.75568769,4/22/2015,4/22/2015,Broadcast,138,138,,Rural,"[""TNC""]",Mississippi,Low
Moody Forest Natural Area,"9, 10 South",31.90417587,-82.30340511,4/22/2015,4/22/2015,Broadcast,153,153,,Rural,"[""TNC""]",Georgia,Medium
"Pine Knot, CFL ACUB",Rovig,32.4258501,-84.56678796,4/22/2015,4/22/2015,Broadcast,969,969,,Rural,"[""TNC""]",Georgia,Medium
Moody Forest Natural Area,3,31.91998445,-82.31583524,4/24/2015,4/24/2015,Broadcast,221,17,"[""State/Local Government""]",Rural,"[""TNC""]",Georgia,Medium
Weaver Dunes,Horseshoe,44.244524,-91.93284,4/24/2015,4/24/2015,Broadcast,19,19,,Rural,"[""TNC""]",Minnesota,Low
Pickerel Lake,Campbell Unit,42.8135,-88.4369,4/24/2015,4/24/2015,Broadcast,45,45,,Rural,"[""TNC""]",Wisconsin,Medium
Hole in the Mountain,Recon 15c,44.2472,-96.294,4/26/2015,4/26/2015,Broadcast,1,1,,Rural,"[""TNC""]",Minnesota,Low
Hole in the Mountain,Recon 17,44.2406,-96.3221,4/26/2015,4/26/2015,Broadcast,3,3,,Rural,"[""TNC""]",Minnesota,Low
Wallace C. Dayton Conservation and Wildlife Area,Caribou 15,48.942,-96.462,4/26/2015,4/26/2015,Broadcast,560,560,,Rural,"[""TNC""]",Minnesota,Low
Coosa Bog Preserve,1,34.1009,-85.3907,4/27/2015,4/27/2015,Broadcast,1.5,1.5,,Rural,"[""TNC""]",Alabama,Low
Chitwood Barrens Preserve,N and S,34.2507,-85.5244,4/27/2015,4/27/2015,Broadcast,52,52,,Rural,"[""TNC""]",Alabama,Low
Bibb County Glades Preserve,2,33.0336,-87.0214,4/27/2015,4/27/2015,Broadcast,57,57,,Rural,"[""TNC""]",Alabama,Low
Caveny,Caveny,40.46,-98.3,4/27/2015,4/27/2015,Broadcast,135,135,,Rural,"[""TNC""]",Nebraska,Low
Barneveld Prairie SNA,Monroe Unit,42.9961,-89.9027,4/27/2015,4/27/2015,Broadcast,200,200,,Rural,"[""TNC""]",Wisconsin,Medium
Spring Prairie Preserve,Plots,46.920446,-96.47333,4/28/2015,4/28/2015,Broadcast,1,1,,Rural,"[""TNC""]",Minnesota,Low
Cross Ranch,Training Unit,47.2062,-101.006,4/28/2015,4/28/2015,Broadcast,2,2,,Rural,"[""TNC""]",North Dakota,Low
Albany Pine Bush Preserve,Duodenum,42.71842112,-73.88264833,4/28/2015,4/28/2015,Broadcast,23,4,,Urban,"[""Contractor; Government Agency""]",New York,Medium
Tallgrass Prairie Preserve,Hill Pens West,36.840711,-96.435353,4/28/2015,4/28/2015,Broadcast,14,14,,Rural,"[""TNC""]",Oklahoma,Low
Regal Meadow,Heitke,45.370447,-94.812151,4/28/2015,4/28/2015,Broadcast,24,24,,Rural,"[""TNC""]",Minnesota,Low
Suck Pasture,Suck,40.43,-98.35,4/28/2015,4/28/2015,Broadcast,32,32,,Rural,"[""TNC""]",Nebraska,Low
Ohoopee Dunes Natural Area,TNC 2 and DNR Halls Bridge,32.52968136,-82.44844365,4/28/2015,4/28/2015,Broadcast,188,34,,Rural,"[""TNC""]",Georgia,Medium
Zimmerman Prairie,ZP-South,47.113331,-96.14413,4/28/2015,4/28/2015,Broadcast,48,48,,Rural,"[""TNC""]",Minnesota,Low
Roberta Case Pine Hills Preserve,"1, Portion 2",32.4024,-86.3709,4/28/2015,4/28/2015,Broadcast,165,165,,Rural,"[""TNC""]",Alabama,Low
Caribou WMA,Caribou NE Pastures,48.957,-96.493,4/28/2015,4/28/2015,Broadcast,"2,800",480,,Rural,"[""TNC""]",Minnesota,Low
Tallgrass Prairie Preserve,Hill Pens East,36.841353,-96.432105,4/29/2015,4/29/2015,Broadcast,25,25,,Rural,"[""TNC""]",Oklahoma,Low
Blue Heaven Cave,Knob Unit,36.2889,-92.7707,4/29/2015,4/29/2015,Broadcast,75,75,,Rural,"[""TNC""]",Arkansas,Medium
Tallgrass Prairie Preserve,Mesonet,36.842131,-96.426139,4/29/2015,4/29/2015,Broadcast,84,84,,Rural,"[""TNC""]",Oklahoma,Low
Lake Alexander,Green Island,46.200058,-94.554036,4/30/2015,4/30/2015,Broadcast,14,14,,Rural,"[""TNC""]",Minnesota,Low
Tallgrass Prairie Preserve,Roy's Trap North,36.861091,-96.413343,4/30/2015,4/30/2015,Broadcast,30,30,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,Roy's Trap East,36.856765,-96.41236,4/30/2015,4/30/2015,Broadcast,45,45,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,Roy's Trap West,36.857174,-96.415508,4/30/2015,4/30/2015,Broadcast,47,47,,Rural,"[""TNC""]",Oklahoma,Low
Barneveld Prairie SNA,Burn Unit 4,42.9882,-89.8916,4/30/2015,4/30/2015,Broadcast,65,50,"[""Private""]",Rural,"[""TNC""]",Wisconsin,Medium
Rock Hill Preserve,"1-4, 6",30.743621,-85.491919,4/30/2015,4/30/2015,Broadcast,200,200,,Rural,"[""TNC""]",Florida,Low
Tallgrass Prairie Preserve,Colt Trap / Sliver,36.852843,-96.415964,5/1/2015,5/1/2015,Broadcast,16,16,,Rural,"[""TNC""]",Oklahoma,Low
Crooked Creek,Prairie Unit,42.8356,-88.4788,5/1/2015,5/1/2015,Broadcast,32,32,,Rural,"[""TNC""]",Wisconsin,Medium
Tallgrass Prairie Preserve,Spring Trap,36.851856,-96.412929,5/1/2015,5/1/2015,Broadcast,100,100,,Rural,"[""TNC""]",Oklahoma,Low
Willie Ferral Brown,"WFB-2, 3",30.52745258,-89.41302201,5/1/2015,5/1/2015,Broadcast,146,146,,Rural,"[""TNC""]",Mississippi,Low
Rock Hill Preserve,"5, 7-12",30.738293,-85.488281,5/1/2015,5/1/2015,Broadcast,225,225,,Rural,"[""TNC""]",Florida,Low
"Fort Perry Black Creek, CFL WMA",BlackJack 1 & 2,32.57880374,-84.51507497,5/1/2015,5/1/2015,Broadcast,369,362,"[""State/Local Government""]",Rural,"[""TNC""]",Georgia,Medium
North Heron Lake ,North 1/2,43.7886,-95.2599,5/2/2015,5/2/2015,Broadcast,50,50,,Rural,"[""TNC""]",Minnesota,Low
Oak Openings - Kitty Todd Preserve,Sweet Fern Savanna,41.607164,-83.801565,5/3/2015,5/3/2015,Broadcast,21,21,,Urban,"[""TNC""]",Ohio,Low
Calhoun Spigelia Preserve,All,30.264994,-85.183832,5/4/2015,5/4/2015,Broadcast,32,32,,Rural,"[""TNC""]",Florida,Low
John E Williams Preserve,East Pelican,47.5231,-100.7545,5/4/2015,5/4/2015,Broadcast,110,110,,Rural,"[""TNC""]",North Dakota,Low
John E. Williams Preserve,E. Pelican,47.5226,-100.7547,5/4/2015,5/4/2015,Broadcast,110,110,,Rural,"[""TNC""]",North Dakota,Low
"Pine Knot, CFL ACUB",Little Pine Knot 3,32.40411293,-84.64463639,5/4/2015,5/4/2015,Broadcast,375,375,,Rural,"[""TNC""]",Georgia,Medium
Tiger Creek Preserve,"CH-2,3,11-17,22,28-39",27.828554,-81.475377,5/4/2015,5/4/2015,Broadcast,450,450,,Rural,"[""TNC""]",Florida,Low
Old Fort Bayou,"OFB-5, 6, 7, 8, 9",30.4561917,-88.73620412,5/4/2015,5/4/2015,Broadcast,814,814,,Rural,"[""TNC""]",Mississippi,Low
Willie Ferral Brown,WFB-1,30.52808101,-89.41435239,5/5/2015,5/5/2015,Broadcast,54,54,,Rural,"[""TNC""]",Mississippi,Low
Dunahoo Preserve,West Unit,34.511,-92.478,5/5/2015,5/5/2015,Broadcast,70,70,,Rural,"[""TNC""]",Arkansas,Medium
Longbranch Preserve,Northeast,31.34504142,-81.89230371,5/5/2015,5/5/2015,Broadcast,89,89,,Rural,"[""TNC""]",Georgia,Medium
Roberta Case Pine Hills Preserve,"3, 4, Portion 2",32.3958,-86.3707,5/5/2015,5/5/2015,Broadcast,199,199,,Rural,"[""TNC""]",Alabama,Low
Tiger Creek Preserve,"CH-2,3,11-17,22,28-39",27.828554,-81.475377,5/5/2015,5/5/2015,Broadcast,214,214,,Rural,"[""TNC""]",Florida,Low
Lake Alexander,Bass Lake,46.182252,-94.52718,5/5/2015,5/5/2015,Broadcast,224,224,,Rural,"[""TNC""]",Minnesota,Low
Talisheek/Money Hill,"MH-4, T-1, 1a, 2",30.5690595,-89.93589892,5/6/2015,5/6/2015,Broadcast,102,10,"[""Private""]",Rural,"[""TNC""]",Louisiana,Low
McLean Savanna,Over,34.460001,-77.758598,5/6/2015,5/6/2015,Broadcast,75,75,,Rural,"[""TNC""]",North Carolina,Medium
Betty and Crawford Rainwater Perdido River Preserve,"3-3 Portions 4-2, 4-1(SpotFire)",30.2955,-87.2525,5/6/2015,5/6/2015,Broadcast,181,181,,Rural,"[""TNC""]",Florida,Low
Apalachicola Bluffs and Ravines Preserve,BU 39-41,30.493095,-84.972743,5/6/2015,5/6/2015,Broadcast,400,400,,Rural,"[""TNC""]",Florida,Low
Arkona Prairie,Arkona Prairie,42.102983,-83.467287,5/7/2015,5/7/2015,Broadcast,30,30,,Rural,"[""TNC""]",Michigan,Medium
Abita Creek,"A-4,9",30.5068883,-89.96598257,5/7/2015,5/7/2015,Broadcast,81,81,,Rural,"[""TNC""]",Louisiana,Low
Broxton Rocks Preserve,2 and 24 West,31.73274696,-82.85390782,5/7/2015,5/7/2015,Broadcast,104,104,,Rural,"[""TNC""]",Georgia,Medium
Ives Road Fen Preserve,Nancy Hand Field Station Planted Prairie,41.962726,-83.946965,5/8/2015,5/8/2015,Broadcast,15,15,,Rural,"[""TNC""]",Michigan,Medium
Cross Ranch,S Trap Pasture,47.1435,-101.0322,5/8/2015,5/8/2015,Broadcast,30,30,,Rural,"[""TNC""]",North Dakota,Low
Cross Ranch,S. Unit trap,47.1431,-101.0314,5/8/2015,5/8/2015,Broadcast,30,30,,Rural,"[""TNC""]",North Dakota,Medium
Ives Road Fen Preserve,Barrens Unit,41.965499,-83.496351,5/8/2015,5/8/2015,Broadcast,35,35,,Rural,"[""TNC""]",Michigan,Medium
Talisheek/Dolly T,"T-1, 1a, WBU-1",30.56277766,-89.9305345,5/8/2015,5/8/2015,Broadcast,306,270,"[""Private""]",Rural,"[""TNC""]",Louisiana,Low
Kettledrummer Prairie,KP-South,46.350034,-96.29453,5/9/2015,5/9/2015,Broadcast,103,103,,Rural,"[""TNC""]",Minnesota,Low
Foxhome Prairie,FP-South,46.315628,-96.282881,5/9/2015,5/9/2015,Broadcast,110,110,,Rural,"[""TNC""]",Minnesota,Low
Apalachicola Bluffs and Ravines Preserve,BU 16-25,30.473274,-84.966703,5/11/2015,5/11/2015,Broadcast,432,432,,Rural,"[""TNC""]",Florida,Low
Red Creek,"RC-4, 7",30.70292233,-88.72581861,5/11/2015,5/11/2015,Broadcast,747,747,,Rural,"[""TNC""]",Mississippi,Low
Hatchineha Ranch,"HR 23, 24",27.994692,-81.476274,5/12/2015,5/12/2015,Broadcast,150,150,,Rural,"[""TNC""]",Florida,Low
Cross Ranch,1-Jul,47.2173,-101.0401,5/12/2015,5/13/2015,Broadcast,215,215,,Rural,"[""TNC""]",North Dakota,Medium
Cross Ranch,1-Jul,47.2171,-101.0356,5/12/2015,5/13/2015,Broadcast,215,215,,Rural,"[""TNC""]",North Dakota,Medium
Hatchineha Ranch,HR 29,27.98691,-81.46187,5/13/2015,5/13/2015,Broadcast,10,10,,Rural,"[""TNC""]",Florida,Low
Piney Grove Preserve,6a,36.98,-77.06,5/13/2015,5/13/2015,Broadcast,33,33,,Rural,"[""TNC""]",Virginia,Low
Splinter Hill Bog Preserve,"4A, 4C, 4D, 5A",31.0038,-87.4157,5/13/2015,5/13/2015,Broadcast,234,227,"[""Private""]",Rural,"[""TNC""]",Alabama,Low
