Ignition Date,Agency,Office,District,Burn Number,Burn Name,Daily Burn Acres Requested,Acres Burned,Location
5/1/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,60,12,(34.45366279157833; -112.50470178956072)
5/1/2016,U.S. Forest Service,,Tonto Basin,TNF0611P,Misc. Piles,6,6,(33.761; -111.23399999999998)
5/1/2016,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,25,25,(36.735452452774666; -112.21288306999207)
5/2/2016,U.S. Forest Service,Coconino,Mogollon ,COF740B,Clints,460,0,(34.6056910690131; -111.31514244079591)
5/2/2016,U.S. Forest Service,Kaibab,North Kaibab,KNF0319P,Misc. District Piles ,25,4,(36.73387897512572; -112.21244318771363)
5/3/2016,Arizona Department of Transportation (ADOT),,Arizona (ADOT),ADOT1111aB,Tumbleweed burning on I-15,1,0,(36.91526275496166; -113.87715454101561)
5/9/2016,U.S. Forest Service,Coconino,Mogollon ,COF740B,Clints,460,425,(34.59488160104382; -111.32896118164063)
5/10/2016,U.S. Forest Service,Coconino,Mogollon ,COF740B,Clints,700,575,(34.58414139020429; -111.27557449340821)
5/10/2016,U.S. Forest Service,Apache Sitgreaves,Lakeside,ASF0773B,Lakeside East Broadcast,1100,410,(34.19869024911733; -109.69780389404297)
5/16/2016,U.S. Forest Service,Coconino,Flagstaff (COF),COF0250B,Munds Park,350,350,(34.93347639797585; -111.6291284033004)
5/19/2016,National Park Service,,Grand Canyon Park,GCP0243B,Village,41,41,(36.054909837537316; -112.12922050781253)
5/19/2016,U.S. Forest Service,,Payson,TNF0401P,Payson Pits,3,3,(34.259345901028254; -111.19494876098633)
5/19/2016,U.S. Forest Service,,Payson,TNF0402B,Lion,1,1,(34.297263941004246; -111.12225830459596)
5/19/2016,U.S. Forest Service,Coconino,Mogollon ,COF0703P,Bly Pit,1,1,(34.67456469691109; -111.11731335449218)
5/22/2016,U.S. Forest Service,,Tonto Basin,TNF0611P,Misc. Piles,1,1,(0; 0)
5/23/2016,U.S. Forest Service,Kaibab,Williams,KNF0130B,Kendrick,700,100,(35.42428211574229; -111.90917166137694)
5/24/2016,U.S. Forest Service,Coconino,Red Rock,COF0605P,Red Rock Piles,2,2,(34.68313835093937; -111.73321356253558)
